,lag,batch,cell,RMSE,MAE,R2,CC,Bias,KGE
0,8,8,1,1.0458061113398933,0.613911,0.234078325300351,0.7463961089292765,1.1654147,0.6175308380406044
1,8,8,1,0.9654873697411896,0.5008178,0.47075279231698297,0.7900616791584804,1.1269418,0.7130050313279432
2,8,8,1,0.830189093857849,0.40563476,0.6922881873928804,0.8575669767478812,1.1882982,0.7604928675460165
3,8,8,1,0.8528466298006943,0.41904056,0.6627604142439493,0.8465913400234011,1.1689177,0.7645092033781922
4,8,8,1,0.9004872036521925,0.44215137,0.6002507937343653,0.8240208266489356,1.1377152,0.7603274224222407
5,8,8,1,0.8657177679157322,0.49152988,0.6182129544607009,0.8433051425299158,1.2622914,0.6780489359788355
6,8,8,1,0.9320322489193522,0.54251313,0.542644952797326,0.814206210841407,1.2541221,0.6644424613291575
7,8,8,1,0.9480372795810798,0.4955935,0.6356422551573577,0.8238478998521753,1.2490684,0.6948502316750551
8,8,8,1,1.0849247333244205,0.589872,0.23893338400843023,0.7254603639949629,1.1474915,0.628348431393328
9,8,8,1,1.0124096370922606,0.5709394,0.3382179610926368,0.7653422764817716,1.161529,0.6508233320382799
10,8,8,1,0.9514037364689074,0.5564103,0.4985218235413694,0.8037702670015967,1.2509723,0.6526443636388192
11,8,8,1,1.067503926629521,0.63805217,0.1525932145007164,0.7334310446270638,1.1649523,0.5950585409997375
12,8,8,1,0.9740730598863716,0.50197953,0.5461241172370688,0.796556730455367,1.1793115,0.7192133345463838
13,8,8,1,0.8513146836048584,0.4753722,0.6374126935687554,0.8471415080561637,1.2262628,0.7114236470037318
14,8,8,1,1.0205682617974263,0.5796011,0.32810730719207937,0.76194208034081,1.1784745,0.6406256166257016
15,8,8,1,0.9572069590673847,0.53505164,0.5366983707393531,0.8036421491140331,1.2340261,0.6791238950135561
16,8,8,1,0.7539343161621264,0.42531082,0.7674800179835113,0.8920022853832151,1.2690163,0.7101028576709865
17,8,8,1,0.8827934263076226,0.45162868,0.6221581413314226,0.8343137392970132,1.1953636,0.7319307685256349
18,8,8,1,1.0917727445552872,0.66205674,0.03013092281228702,0.7167260056530375,1.1274563,0.5756770347410796
19,8,8,1,0.8894585449696937,0.5039591,0.662388050098272,0.8457513317335157,1.3055949,0.6571930180837116
