,lag,batch,cell,RMSE,MAE,R2,CC,Bias,KGE
0,16,8,1,2.5964213024299263,1.2199519,0.7658764922460203,0.8924465849829862,0.9852795,0.874540449760949
1,16,8,1,2.576670473333642,1.1785073,0.7680462365364855,0.8939802657022674,1.0137002,0.8745322282278182
2,16,8,1,2.6076196488371743,1.1870183,0.7676748198180576,0.891889932665288,1.0124023,0.8779732932161162
3,16,8,1,2.6604005586579107,1.2636588,0.7592267035465617,0.8875246013477828,1.011161,0.8750971146648475
4,16,8,1,2.582758306268206,1.1721734,0.7656715877464996,0.8933416532840429,0.9910723,0.8730691139910968
5,16,8,1,2.637303808788873,1.2683862,0.7610131057329109,0.8892000815114339,0.99832153,0.8749847991750659
6,16,8,1,2.5897424830550313,1.1937149,0.7619366870418689,0.892579922110018,1.014298,0.8692984221116317
7,16,8,1,2.8443078133265893,1.5881678,0.729633883624556,0.8720510118632643,0.9699398,0.8611717015637819
8,16,8,1,2.6431280608485324,1.2557733,0.7617977272765403,0.8889198845657151,0.9940285,0.8762407367064722
9,16,8,1,2.700874759113518,1.3819566,0.7474290330402017,0.8835067827771473,0.9898541,0.8678939343132438
10,16,8,1,2.866446666999227,1.6201832,0.7174228861285217,0.8693379529334886,0.9399406,0.8448262161659944
11,16,8,1,2.6156403024971,1.2309136,0.7652237437401237,0.8910782104988888,0.99514234,0.8768435934749298
12,16,8,1,2.6605079183161346,1.2537223,0.757056498205927,0.88724221809582,1.0035036,0.8734446826445929
13,16,8,1,2.6250719333056947,1.2239628,0.7646306321441274,0.890408495132695,1.0072855,0.8771364354460173
14,16,8,1,2.559819750400605,1.161868,0.7752634017575584,0.8958055644759276,1.0166728,0.8800656127505067
15,16,8,1,2.6026118914235274,1.178039,0.7625921119920939,0.8917036387031155,1.0092385,0.872224380849605
16,16,8,1,2.75850731415269,1.4772348,0.7401618188715406,0.8791571015444761,0.954019,0.8595157506027289
17,16,8,1,2.6527639514059036,1.2480695,0.7587479804886916,0.8879459592952423,1.0071659,0.874163425065714
18,16,8,1,2.6609108816574993,1.3269044,0.7580442686574687,0.8873465220867516,0.9895816,0.8740779206566288
19,16,8,1,2.8870623104082265,1.6757171,0.7157504428174067,0.8683617723115455,0.91354674,0.8334049364069531
