,lag,batch,cell,RMSE,MAE,R2,CC,Bias,KGE
0,2,8,3,1.2337445447776025,0.73296005,0.08691591805023058,0.6765135853630172,1.0500574,0.6050592127042292
1,2,8,3,1.2442641743348324,0.7330581,0.08793301148897181,0.6727257907075307,1.080208,0.6008863885415243
2,2,8,3,1.2187027066175755,0.7071007,0.055650188278382307,0.6827116560820018,1.0506743,0.596958008252362
3,2,8,3,1.223410815341346,0.71672153,0.06650244896225066,0.6800400098057702,1.0238826,0.6017079867299348
4,2,8,3,1.2434797942357108,0.73020685,0.06808492623866813,0.6713861716775659,1.0691864,0.5969947453818156
5,2,8,3,1.2255809768637158,0.7145192,0.07935116468129444,0.6805801848762457,1.0605321,0.6021585359076685
6,2,8,3,1.2213021967499005,0.69654214,0.07298208798266825,0.6817428801183301,1.0392549,0.602649161034992
7,2,8,3,1.2291867798706,0.72611135,0.07349378398192452,0.6774432780483804,1.0247648,0.6033600615566543
8,2,8,3,1.2542669425156128,0.73801553,0.07950528307377458,0.6660449757044101,1.0495986,0.6017600066630397
9,2,8,3,1.2316304853404871,0.71709746,0.059782238548715005,0.6759606571180663,1.0435935,0.598158977230286
10,2,8,3,1.231009906267209,0.71175843,0.08452002257814861,0.6774273327899052,1.0397326,0.6054354031373215
11,2,8,3,1.2200782091837241,0.70483917,0.058078070453489006,0.6815281151275021,1.0304825,0.5991639502949878
12,2,8,3,1.242177999208213,0.7367458,0.0776375484566243,0.6733636206981167,1.0845392,0.5974288661051519
13,2,8,3,1.2180400149751853,0.6969356,0.06366820776474935,0.6832364665620748,1.0463791,0.5995889040907705
14,2,8,3,1.2259190809512943,0.7037059,0.058376860667851305,0.6789581933569987,1.0475919,0.5976932839017108
15,2,8,3,1.2249422487931494,0.7018324,0.04788437481494501,0.678835029488392,1.0415465,0.5953966326034181
16,2,8,3,1.2450003296112482,0.7261465,0.08621791895859099,0.6712776193371613,1.0586922,0.6033009363142317
17,2,8,3,1.2302459030594772,0.7190543,0.08020985267002978,0.6778358679062201,1.0484431,0.6034889590228609
18,2,8,3,1.2339919739405005,0.7350671,0.07549907380198118,0.6764614329560723,1.0677258,0.5997768397943023
19,2,8,3,1.2256692440094736,0.72613,0.06665324999799982,0.6792859982538104,1.0418148,0.600494041945826
