,lag,batch,cell,RMSE,MAE,R2,CC,Bias,KGE
0,2,8,2,0.0399422084709133,0.014383547,-0.2605189481473882,0.6526939932667515,2.4313986,-0.5046086244444441
1,2,8,2,0.040434450811092745,0.01531423,-0.47813699013261446,0.6461741253718379,2.616834,-0.6921699058817774
2,2,8,2,0.04962450279282828,0.0134631805,-4.470733527355147,0.3018267829733015,1.9418255,-0.3110303452315588
3,2,8,2,0.048539726188011265,0.01346699,-3.2959124496021506,0.3549087319602942,1.8084685,-0.1685803639138712
4,2,8,2,0.031728957714101724,0.008212145,0.4136035409324288,0.7875824622999387,1.3510524,0.5465496252628712
5,2,8,2,0.04624019117262694,0.012106405,-2.895892597355074,0.44039176891591086,1.5726321,0.032158331991626876
6,2,8,2,0.042337716245003966,0.014408651,-0.9547281179236227,0.5871154451581103,2.3064504,-0.4302352084282124
7,2,8,2,0.04829073347543461,0.017151207,-2.8199384564697363,0.408160443781262,2.7825146,-0.9485311865823045
8,2,8,2,0.04879360886366847,0.014758038,-3.7350784269874824,0.3580032249458537,2.3180096,-0.5705404615001093
9,2,8,2,0.04616195786420807,0.01345598,-2.7915717491297682,0.4605431667458256,2.1891463,-0.41238528293853927
10,2,8,2,0.049245575754535774,0.0141862435,-3.519219829182335,0.3148798824421925,1.1793641,0.1040198875578795
11,2,8,2,0.043516694056632915,0.012985168,-1.393030371526188,0.5427494259643356,1.9443914,-0.14252762139516717
12,2,8,2,0.049205277127843304,0.014272085,-3.6071645915309585,0.33289397922603753,2.063211,-0.37180178392826413
13,2,8,2,0.04536265791143892,0.012362429,-2.071506389174792,0.47119452389152544,1.320965,0.207180216300631
14,2,8,2,0.04394552177803223,0.012551015,-1.4737379667615174,0.5208454525762197,1.4764339,0.1849200876100633
15,2,8,2,0.04606535166061601,0.011101355,-3.447507798075792,0.4441353375953265,1.3552477,0.12516838925038032
16,2,8,2,0.04536288374747436,0.012208727,-2.1013014960376384,0.47202900521893776,1.4150717,0.16372361025821014
17,2,8,2,0.03865390857547568,0.012584284,-0.23885258911415908,0.6722212799535947,2.135964,-0.22580165395556473
18,2,8,2,0.03960399521083313,0.01081134,-0.5213828175555735,0.6392900792993291,1.4887593,0.28630313957604425
19,2,8,2,0.039912468540152075,0.012011164,-0.4824198400298223,0.6385295577234259,1.9111329,-0.04477102433143809
