,lag,batch,cell,RMSE,MAE,R2,CC,Bias,KGE
0,32,8,4,0.0425854,-999,-1.15482,0.565924,1.75236,0.0285683
1,32,8,4,0.0479333,-999,-2.4591,0.431687,2.91587,-1.05951
2,32,8,4,0.0434351,-999,-1.29634,0.562172,2.48123,-0.606509
3,32,8,4,0.0398972,-999,-0.40715,0.643162,2.09545,-0.202634
4,32,8,4,0.041671,-999,-1.24243,0.591774,1.66552,0.0948199
5,32,8,4,0.0423334,-999,-0.183294,0.591439,1.35858,0.404944
6,32,8,4,0.0380601,-999,-0.30796,0.672668,1.30548,0.430559
7,32,8,4,0.0424738,-999,-1.23932,0.562921,1.27253,0.317867
8,32,8,4,0.0408631,-999,0.0679358,0.634783,0.834774,0.562349
9,32,8,4,0.0447022,-999,-1.65165,0.49376,1.08672,0.306928
10,32,8,4,0.0451316,-999,-2.05093,0.500503,2.2659,-0.448715
11,32,8,4,0.0391503,-999,-0.328823,0.650191,1.52758,0.282146
12,32,8,4,0.0410396,-999,-0.560019,0.603827,1.38756,0.339092
13,32,8,4,0.0424769,-999,-1.24598,0.563152,1.31265,0.300516
14,32,8,4,0.0465475,-999,-1.91435,0.442777,1.83749,-0.109868
15,32,8,4,0.0466149,-999,-2.01966,0.44181,1.94673,-0.198304
16,32,8,4,0.039942507,0.012982181,0.014959191,0.655683687,2.1377437,-0.208202937
17,32,8,4,0.040382716,0.012902534,-0.252777944,0.622937324,1.13577,0.500993296
18,32,8,4,0.048856093,0.016780617,-3.10587311,0.374885885,2.601052,-0.798742046
19,32,8,4,0.039841774,0.01101578,-0.256215754,0.635760902,1.4640944,0.334627326
