,lag,batch,cell,RMSE,MAE,R2,CC,Bias,KGE
0,32,8,2,0.567612514517305,0.28293768,0.6886469208694622,0.8643969435002955,1.0894293,0.8136374226279899
1,32,8,2,0.5037655892811523,0.27275723,0.761851811597456,0.8935806928795884,1.0236833,0.8660024178683591
2,32,8,2,0.5094610305404409,0.2605387,0.718329023789887,0.8911207095959972,1.013749,0.8201014052962263
3,32,8,2,0.46560825663423666,0.2195482,0.7926408603176689,0.9094804890675057,1.0199805,0.873098024654711
4,32,8,2,0.521756847506647,0.2632085,0.7606933100668839,0.8891014470742334,1.1131219,0.8346780491184461
5,32,8,2,0.5752157521785513,0.28078598,0.6440240556370502,0.8579775332180397,1.0199565,0.8003967623779971
6,32,8,2,0.4834944966751562,0.23435652,0.7772576125036987,0.9020952760055791,1.0210104,0.8687074217714107
7,32,8,2,0.4948324855899112,0.2349814,0.7627243466404031,0.8970741359923555,1.0040809,0.8614937732013619
8,32,8,2,0.4885277240474398,0.24485551,0.7831960960378475,0.9005475661700991,1.0152171,0.881391730998816
9,32,8,2,0.4964042052604197,0.25116006,0.7595030623407841,0.8966969853960581,1.0466176,0.8515823429995232
10,32,8,2,0.5159298255853334,0.24522628,0.7411639962323076,0.8883560051450081,1.0662045,0.8396419612480693
11,32,8,2,0.5137312822111046,0.27806264,0.7437700444457875,0.8886913499844542,1.0104306,0.8542896115235353
12,32,8,2,0.5217687852783381,0.2608369,0.7007176387792035,0.8854029873888852,1.0113529,0.8124263862537444
13,32,8,2,0.49136489669905076,0.24806209,0.7608950041994245,0.8991592143849199,1.0627079,0.8431941008666333
14,32,8,2,0.518596898891432,0.26856977,0.7405742968662239,0.8875284727652502,1.0795174,0.8351771925893672
15,32,8,2,0.501406420133805,0.24952753,0.7366867690636545,0.8947900697063689,1.0515741,0.8270715439942266
16,32,8,2,0.5043100321358662,0.253492,0.7759596388637839,0.8958425913130318,1.0903628,0.8538968897501957
17,32,8,2,0.5111596059281487,0.27366698,0.7195729433921834,0.8901144737936496,0.99902076,0.8237619742692744
18,32,8,2,0.6012152871165464,0.35622087,0.6441085225828731,0.847257405747905,1.109695,0.7871095714884919
19,32,8,2,0.5262914542953107,0.2699083,0.7321098402201196,0.8843545218247582,1.0936508,0.8251928742797026
